Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Brazil,BRA,60.8,32,20.4,19.2,18.1,17.2,16.6,16.2,16,16,16.2,16.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Brunei Darussalam,BRN,12.2,9.4,9,9,9,9.1,9.3,9.5,9.7,9.9,10.1,10.2
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Bulgaria,BGR,22.1,21,15,14.2,13.7,13.3,13,12.6,12,11.5,10.9,10.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Burkina Faso,BFA,202.2,185.7,149.4,139.9,130.4,121.4,113.5,106.9,101.4,96.6,92.4,88.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Burundi,BDI,171.8,152.2,120.9,114.5,108.6,103.5,98.8,94.9,91.2,87.8,84.6,81.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Cabo Verde,CPV,62.7,35.5,27.9,28.1,28.2,28.1,27.8,27.3,26.6,25.9,25.2,24.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Cambodia,KHM,117.3,108.3,60.4,55.8,51.5,47.3,43.1,39.3,35.8,32.9,30.6,28.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Cameroon,CMR,138,150.4,120.7,116.6,112.8,109,104.8,101,97.4,93.9,90.6,87.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Canada,CAN,8.3,6.2,6,5.9,5.8,5.7,5.6,5.4,5.3,5.2,5,4.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Central African Republic,CAF,176.5,174.8,163.9,161.3,158.2,154.2,150.2,146.2,142.1,138.5,134,130.1
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Chad,TCD,214.6,190.2,174.6,171.5,168,164,160.1,156,151.6,147.1,142.9,138.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Chile,CHL,19.1,10.9,9,8.9,8.9,8.8,8.8,8.7,8.6,8.4,8.3,8.1
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,China,CHN,53.8,36.9,21.9,20.1,18.5,17,15.7,14.5,13.4,12.3,11.4,10.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Colombia,COL,35.1,25.1,20.9,20.3,19.7,19.1,18.5,18,17.4,16.9,16.4,15.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Comoros,COM,125.1,101.1,95.7,93.5,91.2,88.5,86,83.3,80.9,78.3,75.9,73.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,"Congo, Dem. Rep.",ZAR,186.5,161,133.5,128.9,124.5,120.1,116.1,112.2,108.5,104.8,101.7,98.3
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,"Congo, Rep.",COG,93.6,121.6,87.4,79.9,72.6,66.1,60.6,56.1,52.6,49.6,47.1,45
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Costa Rica,CRI,16.9,13,10.3,10.3,10.3,10.2,10.2,10.1,10.1,10,9.9,9.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Cote d'Ivoire,CIV,152.6,145.6,125.1,121.1,116.5,112.7,109.1,105.9,102.5,99,95.5,92.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Croatia,HRV,12.9,8.3,6.5,6.2,5.9,5.6,5.4,5.1,4.9,4.7,4.5,4.3
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Cuba,CUB,13.3,8.4,6.6,6.4,6.3,6.2,6.1,6,5.8,5.7,5.6,5.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Cyprus,CYP,11.1,6.6,4.6,4.3,4.1,3.8,3.6,3.4,3.2,3,2.9,2.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Czech Republic,CZE,14.6,6.6,5,4.7,4.5,4.3,4.1,3.9,3.8,3.7,3.5,3.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Denmark,DNK,8.9,5.6,4.7,4.5,4.3,4.2,4,3.9,3.8,3.7,3.6,3.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Djibouti,DJI,119.4,100.8,86,83.5,81,78.5,76.1,73.9,71.7,69.5,67.4,65.3
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Dominica,DMA,17.1,15.3,16,16.5,17.1,17.9,18.8,19.6,20.4,21,21.2,21.2
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Dominican Republic,DOM,60.2,41.3,36.1,35.5,34.9,34.3,33.8,33.3,32.7,32.2,31.5,30.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Ecuador,ECU,56.9,34.4,28.3,27.5,26.8,26,25.2,24.5,23.7,23,22.3,21.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,"Egypt, Arab Rep.",EGY,85.9,46.5,34.1,32.7,31.4,30.2,29,27.9,26.8,25.8,24.8,24
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,El Salvador,SLV,59.4,32.4,23.6,22.6,21.6,20.8,20,19.3,18.6,18,17.4,16.8
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Equatorial Guinea,GNQ,189.5,152.1,126.9,122.7,118.4,114.6,110.9,107.3,103.7,100.3,97.4,94.1
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Eritrea,ERI,151.4,89.1,66.3,63.2,60.4,57.9,55.6,53.5,51.6,49.7,48.1,46.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Estonia,EST,20.2,11,6.7,6.1,5.5,5.1,4.6,4.2,3.8,3.5,3.2,2.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Ethiopia,ETH,204.6,145.1,101.3,93.8,86.9,80.8,75.7,71.3,67.7,64.6,61.8,59.2
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Faeroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Fiji,FJI,29.8,24.5,23.8,23.9,24,24,23.9,23.7,23.5,23.2,22.9,22.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Finland,FIN,6.7,4.3,3.6,3.5,3.3,3.2,3,2.9,2.7,2.6,2.4,2.3
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,France,FRA,9,5.4,4.5,4.4,4.3,4.3,4.3,4.3,4.3,4.4,4.4,4.3
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Gabon,GAB,92.9,85.3,74.5,71.9,68.9,66.1,63.3,60.6,57.7,54.8,52.3,50.8
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,"Gambia, The",GMB,170.2,118.8,94.2,90.6,87.4,84.3,81.4,78.6,76.1,73.6,71.1,68.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Georgia,GEO,47.7,35.7,22.7,20.9,19.3,17.9,16.6,15.5,14.4,13.4,12.6,11.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Germany,DEU,8.5,5.4,4.6,4.5,4.4,4.3,4.2,4.1,4,3.9,3.8,3.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Ghana,GHA,127.4,100.7,84.4,82.2,79.9,77.4,74.7,71.9,69.2,66.5,64,61.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Greece,GRC,12.6,7.8,5.2,5,4.8,4.8,4.7,4.7,4.7,4.7,4.6,4.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Grenada,GRD,23.3,16,14,13.7,13.5,13.4,13.2,13,12.7,12.5,12.2,11.8
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Guatemala,GTM,80.9,50.6,39.9,38.4,36.9,35.7,34.5,33.3,32.1,31.1,30.1,29.1
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Guinea,GIN,238.2,170.2,131.2,125.9,121,116.3,111.9,107.7,104,100.4,97,93.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Guinea-Bissau,GNB,229.3,177.5,139.9,133.6,127.6,121.6,115.9,110.4,105.2,100.5,96.2,92.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Guyana,GUY,60.4,46.7,42.4,42.1,41.9,41.7,41.5,41.4,41.2,40.8,40.2,39.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Haiti,HTI,145.8,104.8,87.7,85.5,83.3,81.2,208.8,77.2,75.2,73.1,71,69
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Honduras,HND,58.2,37.4,28.8,27.6,26.5,25.4,24.4,23.5,22.6,21.8,21.1,20.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Hungary,HUN,19.1,11.2,7.9,7.5,7.2,6.8,6.6,6.4,6.3,6.2,6.1,5.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Iceland,ISL,6.4,4,2.9,2.8,2.7,2.5,2.4,2.3,2.2,2.1,2.1,2
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,India,IND,125.8,91.2,71.5,68.5,65.6,62.7,59.9,57.2,54.5,52.1,49.8,47.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Indonesia,IDN,84.7,52.3,39.6,37.9,36.2,34.7,33.1,31.7,30.4,29.3,28.2,27.2
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,"Iran, Islamic Rep.",IRN,57.5,34.7,24.2,22.8,21.4,20.2,19.2,18.3,17.5,16.8,16.1,15.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Iraq,IRQ,54.1,44.7,39.9,39.1,38.3,37.5,36.6,35.7,34.8,33.9,32.9,32
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Ireland,IRL,9.2,7.1,4.9,4.6,4.5,4.3,4.2,4.1,4,3.8,3.7,3.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Isle of Man,IMY,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Israel,ISR,11.6,6.9,5.3,5.1,4.9,4.7,4.6,4.4,4.3,4.2,4.1,4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Italy,ITA,9.7,5.5,4.3,4.2,4.1,4.1,4,3.9,3.8,3.7,3.6,3.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Jamaica,JAM,30.6,22,19.5,19.2,18.9,18.5,18.1,17.6,17.2,16.7,16.2,15.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Japan,JPN,6.3,4.5,3.6,3.5,3.4,3.3,3.2,3.4,3,2.9,2.8,2.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Jordan,JOR,36.6,27.7,23.4,22.7,22.1,21.5,20.8,20.2,19.6,19,18.5,17.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Kazakhstan,KAZ,52.6,43.6,30.3,28.1,25.9,23.7,21.6,19.6,17.9,16.4,15.1,14.1
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Kenya,KEN,102.3,107.9,80.7,76.1,70.1,65.8,62.1,58.5,55.6,53.4,51.3,49.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Kiribati,KIR,96,70.6,64.8,64.8,64.5,63.9,62.9,61.7,60.4,58.9,57.4,55.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,"Korea, Dem. Rep.",PRK,43.4,60,32.2,32.4,32.4,32.1,31.3,30.1,28.7,27.4,26.1,24.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,"Korea, Rep.",KOR,7.1,6.1,5.2,4.8,4.5,4.3,4.1,4,3.8,3.7,3.6,3.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Kosovo,KSV,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Kuwait,KWT,17.9,12.7,11.6,11.5,11.3,11.1,10.8,10.3,9.9,9.4,9,8.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Kyrgyz Republic,KGZ,65,48.7,37.9,36.3,34.4,32.3,30,27.8,25.7,24,22.6,21.3
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Lao PDR,LAO,162.4,117.7,93.5,89.8,86.2,82.8,79.7,76.7,74,71.3,69.1,66.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Latvia,LVA,20.4,17.2,11.8,11.1,10.5,9.9,9.4,9,8.7,8.4,8.2,7.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Lebanon,LBN,32.5,20,13,12.1,11.3,10.7,10.1,9.7,9.3,8.9,8.6,8.3
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Lesotho,LSO,88.1,116.8,123.2,119.3,116.5,106.5,100.7,96.8,94.1,93.6,92,90.2
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Liberia,LBR,255,181.8,115.7,107.8,100.9,94.7,89.3,84.5,80.3,76.3,72.9,69.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Libya,LBY,41.6,28.1,21.7,20.2,18.8,17.6,16.6,17.6,15.1,14.5,13.9,13.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Lithuania,LTU,16.5,11.8,9.5,8.8,8.1,7.4,6.7,6.1,5.6,5.3,5.2,5.2
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Luxembourg,LUX,8.8,4.8,3.3,3,2.8,2.6,2.4,2.3,2.1,2,2,1.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,"Macedonia, FYR",MKD,36.6,16,13.2,12.5,11.8,11,9.9,8.6,7.4,6.6,6,5.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Madagascar,MDG,160.7,109.2,75.4,70.8,66.7,63.3,60.3,57.8,55.5,53.4,51.5,49.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Malawi,MWI,242.4,174.4,109.9,104.9,100,95.4,90.9,84.5,77.3,71.3,66.9,64
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Malaysia,MYS,16.6,10.2,8.1,8,8,8,8,7.9,7.7,7.5,7.2,7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Maldives,MDV,94.1,44.4,20.1,17.8,16,14.4,13,11.8,10.7,9.9,9.2,8.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Mali,MLI,254.4,219.6,162.9,155.1,148.3,142,136.6,131.7,127,122.7,118.3,114.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Malta,MLT,11.3,7.8,6.9,6.8,6.8,6.8,6.7,6.7,6.7,6.6,6.5,6.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Marshall Islands,MHL,50.3,41.4,39.9,39.7,39.5,39.3,39.1,38.8,38.3,37.8,37,36
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Mauritania,MRT,118.1,113.5,107.9,105.5,103,100.4,97.8,95.4,92.7,90.2,87.5,84.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Mauritius,MUS,23.1,18.6,15.9,16,15.8,15.5,15.2,14.9,14.6,14.3,13.9,13.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Mexico,MEX,46.6,25.6,18.9,18.4,17.9,17.4,16.8,16,15.3,14.5,13.8,13.2
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,"Micronesia, Fed. Sts.",FSM,55.6,53.9,45.9,44.6,43.1,42,40.7,39.4,38.2,37,35.8,34.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Moldova,MDA,33.1,31.3,18.7,18.1,17.7,17.4,17.2,16.9,16.7,16.4,16.1,15.8
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Monaco,MCO,7.8,5.2,4.4,4.3,4.2,4.1,4,3.9,3.8,3.7,3.6,3.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Mongolia,MNG,107.8,62.7,40.3,37.4,34.8,32.3,30,28,26.2,24.7,23.5,22.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Montenegro,MNE,16.6,13.8,9.6,8.9,8.1,7.4,6.8,6.2,5.7,5.3,5,4.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Morocco,MAR,80.1,50,38.8,37.3,35.8,34.5,33.1,31.9,30.7,29.7,28.6,27.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Mozambique,MOZ,239.7,171.1,127.8,120.1,113.6,107.6,102.8,97.5,90.9,85.6,81.2,78.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Myanmar,MMR,109.9,82.3,68.1,65.8,87.2,61.4,59.3,57.2,55.3,53.5,51.7,50
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Namibia,NAM,73.5,75.7,68.4,64,60.1,56.7,53.8,51.6,49.9,47.7,46.4,45.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Nepal,NPL,140.7,80.6,56.6,53.6,50.7,48,45.4,43.1,40.9,39,37.4,35.8
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Netherlands,NLD,8.3,6.2,5.2,5,4.8,4.6,4.4,4.3,4.2,4,3.9,3.8
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,New Zealand,NZL,11.2,7.4,6.5,6.4,6.4,6.3,6.2,6.1,6,5.9,5.8,5.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Nicaragua,NIC,66.9,40.3,30.4,29.2,28.1,27.1,26.1,25.2,24.4,23.5,22.8,22.1
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Niger,NER,328.2,227.3,161.8,151.3,141.3,132.1,123.6,116.1,109.6,104.1,99.6,95.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Nigeria,NGA,212.5,186.8,152.2,146.4,140.9,135.5,130.3,125.5,120.9,116.6,112.5,108.8
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Norway,NOR,8.7,4.9,3.9,3.7,3.5,3.4,3.2,3.1,3,2.8,2.7,2.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Oman,OMN,39.4,16.6,12.3,12.1,11.9,11.7,11.7,11.6,11.6,11.7,11.6,11.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Pakistan,PAK,138.6,112.3,99.3,97.4,95.5,93.7,91.8,89.9,87.8,85.6,83.3,81.1
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Palau,PLW,36.1,26.8,22.1,21.4,20.7,20.1,19.4,18.8,18.2,17.5,17,16.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Panama,PAN,30.9,26,22.3,21.7,21,20.5,19.8,19.2,18.7,18.1,17.6,17
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Papua New Guinea,PNG,89.4,78.5,72.9,71.5,69.7,67.9,66.1,64.3,62.5,60.9,59.1,57.3
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Paraguay,PRY,46.5,33.5,27.5,26.6,25.7,24.9,24.1,23.3,22.6,21.9,21.2,20.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Peru,PER,79.7,38.6,25.9,24.5,23.2,22.1,21,20,19.1,18.3,17.5,16.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Philippines,PHL,58.2,39.7,34.9,34.2,33.4,32.6,31.9,31.2,30.4,29.6,28.8,28
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Poland,POL,17.3,9.3,7.3,7,6.7,6.2,5.8,5.5,5.3,5.2,5.2,5.2
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Portugal,PRT,14.7,7.2,4.4,4.2,4.1,4,3.9,3.8,3.8,3.8,3.7,3.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Qatar,QAT,20.8,12.4,10,9.7,9.5,9.2,9,8.8,8.6,8.4,8.2,8
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Romania,ROM,37.7,26.9,19.2,17.6,16.1,14.9,13.9,13.2,12.5,12,11.5,11.1
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Russian Federation,RUS,26,23.2,15.5,14.4,13.5,12.7,12,11.4,10.8,10.4,9.9,9.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Rwanda,RWA,151.8,183.8,98.6,87.8,78.3,70.6,64.1,57.7,52.1,47.8,44.3,41.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Samoa,WSM,31,21.7,19.1,18.9,18.8,24.1,18.7,18.6,18.5,18.2,17.9,17.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,San Marino,SMR,10.9,5.5,4,3.9,3.7,3.6,3.5,3.4,3.2,3.1,3,2.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Sao Tome and Principe,STP,110.7,89.3,66.7,63.6,61,58.5,56.4,54.4,52.4,50.8,49,47.3
